park_id	park_name	park_reg_code	address	lat_lng	city	park_level	park_type	info_16_p_1	main_industry	brief_introduction
1	四川阿坝工业园区	S519038	阿坝藏族羌族自治州汶川县威州镇东街11号	103.593483,31.483584	阿坝州	省级园区	工业园区	新材料,农产品精深加工	铝冶炼、化学原料、非金属矿物制品产业	四川阿坝工业园区位于阿坝州汶川县、茂县和红原县，是阿坝州重要经济增长极，地处阿坝州南、北门户地带。1998年2月，四川省人民政府批准成立四川省能源高耗能工业经济开发区；2006年8月，国家发改委在对全国经济开发区进行清理整顿后，正式确认阿坝州工业经济园区为省级开发区，核准面积为553.03公顷,水磨镇小区（北区）：东至郭家坝村、南至茅坪子村，西至寨子坪村，北至老人树村：水磨镇小区（南区）:东至黑土坡村，南至白石村，西至白石村，北至白果坪村；邛溪镇小区：东至老油库，南至瑞庆西路，西至白龙村,北至达尔玛街。受“5.12”汶川特大地震影响，水磨镇南、北两区企业迁建至汶川漩口和茂县土门，2018年2月26日,园区核准面积161.56公顷，涵盖汶川漩口、茂县土门、红原邛溪三个工业集中区。汶川漩口集中区，区块1东至汶川县漩口镇紫坪铺水库，南至古溪河右羊山脚，西至瓦窑村，北至古溪河右岸。区块2东至汶川县漩口镇麻溪沟，南至古溪河左岸，西至瓦窑村，北至麻溪沟向北1.8公里。茂县土门集中区，区块1东至茂县富顺集中区公路外山坡，南至水厂后山脚，西至槽木沟外边坡，北至土门河边山崖。区块2东至茂县东兴集中区220千伏变电站，南至土门河，西至水晶湾沟，北至省道302线。红原邛溪集中区（原格牛园区），区块1东至红原县萨玛村，南至邛溪镇萨玛村国道248线，西至邛溪镇萨玛村，北至邛溪镇达格龙村；区块2东至红原县县城，南至邛溪镇萨玛村国道248线，西至邛溪镇萨玛村，北至邛溪镇达格龙村。园区按产镇一体化与城镇规划建设，配套建设220KV变电站4座（漩口1座，东兴1座，团结1座，槽木1座），污水处理厂3座（漩口1座，槽木1座，邛溪1座），以及各企业配套建设职工公寓等基础设施。截止2018年底，园区聚集工业企业28户，其中规上工业企业24户，2018年园区规上工业企业累计完成总产值75.89亿元，同比增长4.85%，营业收入67.42亿元，同比增长11.44%，上缴税金2.7亿元，同比增长12.5%。2011年被授予“四川省知识产权试点园区”，2013年被授予“51025重点产业园区”。
2	茂县工业园区	---	南新镇棉簇工业园区	103.748139,31.591502	阿坝州	其他重点园区	工业园区	新材料	有色金属冶炼和化工产业、新材料产业	茂县工业园区是“5.12”汶川特大地震后，根据州委、州政府“工业北移”战略部署，按照“科学规划、合理布局、用地节约、产业集聚、有效整合、强化协作、提升工业体系综合竞争力”的原则，于2008年7月正式设立。经过几年的建设和发展，目前园区共建成六个集中区。企业固定资产投资31亿余元，国家投入建设资金近10亿元。形成了56万吨电石（20万吨气烧石灰及配套）、22.7万吨氯酸盐、1.2万吨高氯酸钠、9.6万吨工业硅（12兆瓦余热发电及配套）、5万吨二甲醒（2亿方废气利用）的生产能力。截止目前企业用12145余人（高峰期可达2600余人），80%以上为本地务工人员。截止2018年底，园区聚集工业企业20户，其中规上工业企业11户，2018年园区规上工业企业工业产值26.88亿元，同比增长-12%，营业收入24.3亿元，同比增长7%，实现利润0.75亿元，同比增长77%。
3	汶川县工业园区	---	阿坝藏族羌族自治州汶川县威州镇东街11号	103.593483,31.483584	阿坝州	其他重点园区	工业园区	新材料,医药健康	新材料、制造业、医药制造产业	汶川县工业园区位于阿坝州汶川县漩口镇，是阿坝州改造传统产业和培育新兴产业的重要基地，阿坝州循环经济示范区，是以新兴工业产业为主的绿色百亿工业园区。成立于2009年9月，汶川县工业园区规划面积约6.16平方公里，建成区面积1.44平方公里。漩口新型工业集中区范围：北,031°01'27.08765"N；东,103°28'17.96294"E,南,030°59'15.90729"N,西,103°25'13.61804"E。配套建设有110KV变电站、污水处理厂等基础设施。截止2018年底，园区聚集工业企业29户，其中规上工业企业21户，2018年园区规上工业企业工业产值55.9亿元，同比增长4.7%，营业收入45.2063亿元，实现利润2.6亿元。
4	理县绿色产业园区	---	理县阿坝理县薛城古镇东大街6号筹边楼旁边	103.319944,31.558217	阿坝州	其他重点园区	工业园区	绿色化工	有色金属冶炼和压延加工业、化学原料和化学制品制造、深加工农产品产业	2009年11月，经《关于印发四川省产业园区（产业集中发展区）产业发展规划指导意见（2009-2012）的通知》（川办发[2009]55号）文件批准，理县工业集中区更名为理县绿色产业园区，列入四川省产业园区，下辖理县绿色经济集中区和下孟工业集中区，主要以沙棘等农畜产品深加工和硅业、盐化工等水电髙载能产业为主导，以发展关联产业为配套，是理县建设现代工业的重要基地。下孟工业集中区1998年，省人民政府批准建立阿坝州高耗能工业园区，并将其作为电冶结合、发展高载能工业的试点地区之一，下孟工业集中区是该工业园区的一部分；2003年9月9日，经《阿坝州人民政府对阿坝州工业经济园区建设协调领导小组办公室关于审批工业园区规划的请示的批复》（阿府函[2003]136号）批准同意下孟工业集中区总体规划；2008年12月15日,州人民政府在全州县长大会上将下孟工业集中区命名为湖南•下孟工业集中区。下孟工业集中区位于理县下孟乡四马、仔迭两行政村内，由回龙桥河坝（东区）和三家河坝（西区）组成，占地面积为84.77公顷，其中西区46.72公顷，东区38.05公顷，薛孟公路贯穿全境，基础设施齐备。东区以生产能源高耗产品为主的中心，主要安排为工业加工中心和工业服务中心；西区以乡域经济、政治、文化发展的中心，居住和服务综合区。理县绿色经济集中区2009年，根据《关于同意建设湖南•理县绿色经济集中区的批复》（理府函[2009]59号）文件精神，理县正式启动理县绿色经济集中区建设。理县绿色经济集中区起于杂谷脑镇维关上桥,止于县团结桥,全长2.6公里,规划总用地面积为280亩，主要发展以深加工沙棘、蔬菜等农产品为主绿色产业。园区内现道路通畅，供电、供水、排污、通讯便利，并已建成较为规范的下孟220KV变电站1座、110KV输变电1座，自来水厂2座、污水处理厂1座和等一批配套设施。截止2018年底，园区聚集工业企业6户，其中规上工业企业3户，2018年园区规模以上工业企业产值6.31亿元，同比下降43%，营业收入3.514093亿元，同比下降47%，实现利润0.08483亿元，同比下降73%。
5	四川青藏高原农畜产品集中加工区	---	四川省阿坝藏族羌族自治州松潘县G213(兰磨线)	103.618136,32.592001	阿坝州	其他重点园区	工业园区	农产品精深加工	农副食品加工产业	园区位于松潘县青云乡雄山村，松潘县位于阿坝藏族羌族自治州东北部，距省会成都335公里，距州府马尔康431公里，“九环线”西线沿岷江纵贯全县，距九黄机场仅17公里，距离成兰铁路青云火车站800米。园区于2010年2月7日成立，按“分步实施、有序开发”的原则进行开发。2012年完成了《四川青藏高原农畜产品加工集中区总体规划(2011-2025)》的编制和评审工作，四川青藏高原农畜产品加工集中区经国土部门审核面积为2.185平方公里。其四至范围为，青云组团：青云生态工业园位于青云镇东北，距离松潘县城5公里。四磨子沟组团：四磨子沟位于北定关四磨子沟，西临213国道，用地沿山谷向东呈带形布置，东西长约3.3公里，南北宽约150米。海子沟组团：海子沟位于镇江关海子沟热务河畔，用地界线为北抵热务河,西、南至山脚的区域，用地沿山谷向东呈不规则三角形布置，东西长约720米，南北宽约840米。镇江关-小平坝组团：镇江关工业园、小平坝位于镇江关乡集镇和五里村小平坝，岷江西侧，用地界线为北抵热务河，西、南至山脚的区域。截止2018年底，园区聚集工业企业2户，其中规上工业企业1户，2018年园区规上工业企业工业产值0.5亿元，同比增长22%，营业收入0.08亿元，同比增长100%，实现利润0.032亿元，同比增长100%。经四川经信委公示于2018年8月1日正式挂牌“四川特色产业基地”。
6	四川巴中经济开发区	S517033	四川省巴中市巴州区置信街18号	106.900775,31.849318	巴中市	省级园区	经开区	软件与信息服务,集成电路与新型显示	机械、电子、服装产业	四川巴中经济开发区位于巴中市巴州区，是巴中市重要经济增长极，地处成渝经济圈和关天经济圈。成立于2002年6月成立，于2003年6月获批省级开发区，2015年5月扩区移位至巴州区兴文镇，规划面积37.75平方公里，建成区面积18平方公里。四至范围（具体以界址点坐标控制）:东至巴州区兴文镇郑家山村、南巴州区兴文镇中营村，西至九寨山和渝巴汉高速，北至巴州区兴文镇观音桥村。经开区按产城一体与城市规划建设，配套建设有110KV变电站、污水处理厂、科技孵化器、人才公寓等基础设施。截止2018年底,园区聚集工业企业79户，其中规上工业企业30户，2018年园区规上工业企业工业产值58.9亿元，同比增长14.1%，营业收入53.3亿元，同比增长13.6%，实现利润2.4亿元，同比增长22.7%，园区被授予“四川省新型工业化产业示范基地”。
7	南江县工业园	---	巴中市南江县东榆铺街附近	106.819055,32.298126	巴中市	其他重点园区	工业园区	新材料,精制川茶	新材料、食品饮料产业	南江县工业园成立于2011年5月，辖东榆工业园核心区、乐坝中小企业集中区、坪河新材料产业区，总规划面积15.9平方公里，主导产业为绿色食品、生物医药、新能源新材料、矿产资源精深加工。其中东榆工业园区核心区位于巴中市南江县城南部东榆镇，东邻光雾山大道、南江河，西靠玉皇观山体，北临林家坝黄金村片区、香山观-寨梁山，南至巴陕高速南江南出入口，总用地面积10.22平方公里，以食品、医药，资源加工为主导产业。乐坝中小企业集中区位于南江县乐坝镇镇区东部，规划区西北至旺苍县，东南至向家坡村，西南至乐坝河，东北至侯家坡村，规划面积4.12平方公里，以矿产品加工为主导产业。坪河新材料产业区位于南江县坪河镇镇区南部，规划区北至后坝，东至钟槽沟，南达鸡爪沟，西至空木河，以石墨、霞石、钾长石等资源进行开采及加工为主导产业，规划面积1.56平方公里。工业园区按产城一体与城市规划建设，配套建设有220KV变电站、污水处理厂、中小企业孵化园、企业服务中心、医院、职业学校等基础设施。是南江县对外开放的南大门，是南江县重要经济增长极，地处成渝经济圈。截止2018年底，园区聚集工业企业25户，其中规上工业企业17户，2018年园区规上工业企业工业产值66亿元，同比增长30%，营业收入24.2亿元，同比增长28.7%，实现利润3亿元，同比增长25%。2018年8月，园区被四川省经济和信息化委员会授予：四川省新型工业化产业示范基地。
8	通江县工业园	---	巴中市通江县通达路	107.270654,31.890959	巴中市	其他重点园区	工业园区	集成电路与新型显示,精制川茶	机械、食品饮料产业	通江县工业园位于巴中市通江县，是通江县域经济增长极。成立于2011年11月，规划面积10平方公里，建成面积近2平方公里。统筹范围春在镇秦家岭村第一、二、三村民小组、向家营村第一、十村民小组，诺江镇城南村第二村民小组，广纳镇金堂村第一、二、三、四、五村民小组。目前入驻企业26家，其中规上企业10家，千方药业、锐嘉食品等企业已建成营运九州科技、芊菇公司等企业建设如火如荼；爱吃兔、青花椒等一批企业陆续入园；巴山牧业已成功上市，成为我市首家上市企业。已形成入驻企业不断增多、建设项目不断提速、建成企业不断发展状大的良好态势。园区突出“绿色”“有机”产业发展特色，不断加快园区发展，到2020年力争建成区面积达3平方公里，人口2万人，实现园区投资总额超过100亿元，入园企业超过100家，园区总产值占全县工业总产值50%以上，实现利税5亿余元，解决就业岗位2万个。努力将工业园打造成“一园四基地”，即国内一流的有机农副产品加工园、国际知名的通江银耳（食用菌）深加工基地、国内知名的有机肉食品深加工基地、川东北地区有机果蔬深加工基地、秦巴山区重要的中药材生产加工基地。2018年园区总产值38亿元，同比增长5.6%，规上工业企业产值32亿元，同比增长8.9%，实现利润3.5亿元，同比增长4.6%。园区被县委组织部授予“人才引进示范单位”、省经信委授予“四川特色产业基地”。
9	四川平昌经济开发区	S517123	巴中市平昌县(星光工业园)	107.149033,31.529802	巴中市	省级园区	经开区	智能装备,清洁能源,农产品精深加工	机械、食品饮料、能源产业	四川平昌经济开发区位于巴中市平昌县，是巴中市工业重要经济增长极，成立于2003年10月，2018年2月，该园区纳入《中国开发区审核公告目录》(2018年版)，于2018年10月获批省级开发区，规划建设面积0.4974平方公里，建成面积0.48平方公里。四至范围：北至胡豆坝，南至梅垭村，西至星白路，东至河家山。园区位于县城主城区巴河下游2公里，紧邻达广国道G542公路，距巴达高速公路平昌东互通4公里，距巴达铁路平昌火车站6公里。园区按产城一体与城市规划建设，配套建有110KV变电站、污水处理厂、中小企业孵化园、创新创业服饰产业园等基础设施。截止2018年底，园区聚集工业企业32户，其中规上工业企业21户，2018年园区规上工业企业工业产值144.19亿元，同比增长11.48%，营业收入134.59亿元,同比增长9.23%，实现利润2.25亿元，同比增长24.2%。2011年10月被列为《四川省“十二五”开发区发展规划》重点培育园区，2016年9月成功创建“四川省新型工业化示范基地”，2018年2月成功纳入《中国开发区审核公告目录》。
10	成都龙潭新经济产业功能区	S519040	四川省成都市成华区航天路50号国机西南大厦12楼	104.181225,30.69444	成都市	省级园区	经开区	智能装备,新一代网络技术	“数字通信、机器人、检验测验”两主导一特色的新经济产业	成都龙潭新经济产业功能区（成都龙潭都市工业集中发展区），位于成都市成华区，成立于2005年9月，规划总面积约11平方公里，建成区面积约9平方公里，核心区（成都龙潭都市工业集中发展区）8.13平方公里,是成都市重要经济增长极，是串联成渝经济区、成德绵经济带、川南经济腹地的重要经济纽带节点。四至范围：东至绕城高速，南至成南高速，西至三环路，北至成渝铁路。按照国内一流、国际知名的“新经济-生态城”定位，加快构建功能复合、职住平衡、服务完善、宜业宜居发展导向的新经济产业生态圈创新生态链。已建成八横九纵市政骨干路网25.52公里，可无缝对接成绵、成南等四条高速公路以及成都东客站。配套建设有日供水量30万吨，双回路供电能力45万干伏安，日供气量50万立方，干兆光纤网络实现全覆盖，大学生创业园等基础设施，标准厂房和人才公寓正在加快建设中。截止2018年底，园区聚集企业2000户，其中规上工业企业17户，2018年功能区规上工业企业工业产值57.25亿元，同比下降0.9%,营业收入60.86亿元，同比增长1.7%,实现利润5.36亿元，同比增长14.8%。功能区先后荣获四川省“1525工程”培育园区、“成渝经济区投资价值榜最具投资价值产业园区前十强”、“一带一路·四川最具投资价值产业园区”、“中国总部经济研究实践基地”，2018年纳入四川省省级开发区系列管理。
